batch_id,drug_id,location_id,quantity,expiry_date,inventory_value
1,18,2,374,2026-03-13,42011.42
2,25,5,430,2027-05-16,94539.8
3,11,3,190,2026-08-07,14588.2
4,3,4,181,2026-05-24,56587.84
5,15,3,587,2027-05-24,44154.14
6,14,5,520,2027-03-28,67537.6
7,24,2,170,2026-10-05,10237.4
8,8,3,615,2027-02-22,164783.1
9,15,4,110,2026-02-03,8274.2
10,24,4,155,2026-04-03,9334.1
11,8,4,692,2026-08-01,185414.48
12,8,1,85,2026-07-05,22774.9
13,6,4,519,2026-11-13,138297.93
14,25,4,683,2026-02-16,150164.38
15,24,5,691,2027-06-12,41612.02
16,5,2,384,2026-10-05,49912.32
17,21,1,370,2027-04-27,28996.9
18,2,2,724,2026-03-23,165513.64
19,23,5,885,2026-03-24,224595.3
20,19,2,297,2026-03-23,77528.88
21,14,1,667,2026-08-04,86629.96
22,17,3,733,2026-11-02,109964.66
23,6,2,552,2026-12-16,147091.44
24,23,2,94,2026-02-22,23855.32
25,11,4,82,2026-10-22,6295.96
26,4,1,439,2026-07-25,24886.91
27,1,5,754,2026-08-20,189804.42
28,14,4,685,2027-05-26,88967.8
29,13,5,127,2026-02-13,30850.84
30,14,2,553,2026-08-04,71823.64
31,20,3,549,2026-05-02,123036.39
32,2,3,490,2027-04-12,112018.9
33,25,1,364,2026-08-08,80029.04
34,21,3,538,2027-03-24,42163.06
35,4,5,445,2026-10-19,25227.05
36,23,1,447,2026-02-26,113439.66
37,8,4,223,2027-01-11,59750.62
38,14,5,534,2026-08-17,69355.92
39,9,4,546,2026-05-09,134829.24
40,18,2,798,2026-10-08,89639.34
41,18,3,347,2026-05-05,38978.51
42,16,3,140,2026-12-21,12114.2
43,23,2,664,2026-10-06,168509.92
44,19,1,496,2027-04-01,129475.84
45,13,1,324,2027-01-15,78706.08
46,2,3,367,2027-05-15,83899.87
47,20,2,121,2026-11-02,27117.31
48,15,3,255,2026-08-07,19181.1
49,1,1,486,2027-01-22,122340.78
50,10,3,439,2027-03-06,126309.08
51,14,3,631,2027-06-17,81954.28
52,1,2,731,2026-04-01,184014.63
53,4,3,410,2027-04-11,23242.9
54,21,3,172,2026-11-18,13479.64
55,24,4,362,2026-06-27,21799.64
56,25,5,292,2026-05-10,64199.12
57,15,1,636,2026-12-23,47839.92
58,18,2,152,2027-06-04,17074.16
59,2,4,711,2026-11-22,162541.71
60,14,2,334,2027-01-21,43379.92
61,4,3,240,2026-11-09,13605.6
62,25,5,621,2026-04-18,136533.06
63,14,4,602,2026-12-16,78187.76
64,1,5,667,2027-06-18,167903.91
65,22,1,543,2026-06-28,118797.54
66,18,2,453,2026-05-01,50885.49
67,12,4,665,2027-01-22,42959.0
68,5,1,639,2027-05-11,83057.22
69,22,2,556,2026-07-13,121641.68
70,20,3,183,2026-12-10,41012.13
71,12,1,632,2026-11-26,40827.2
72,9,4,655,2026-10-14,161745.7
73,4,3,220,2026-03-12,12471.8
74,18,1,619,2027-01-23,69532.27
75,11,5,664,2026-05-26,50981.92
76,7,1,514,2026-08-14,44527.82
77,15,2,359,2027-01-04,27003.98
78,18,2,87,2027-06-08,9772.71
79,16,5,657,2027-04-01,56850.21
80,12,5,123,2026-08-31,7945.8
81,15,1,486,2027-03-22,36556.92
82,6,5,142,2027-02-02,37838.74
83,17,4,430,2026-12-22,64508.6
84,25,4,344,2026-11-22,75631.84
85,14,5,758,2026-06-15,98449.04
86,14,2,102,2027-05-05,13247.76
87,20,5,150,2026-12-24,33616.5
88,15,1,715,2026-11-09,53782.3
89,25,3,664,2026-11-03,145987.04
90,10,2,291,2026-12-14,83726.52
91,18,5,239,2027-05-18,26846.87
92,12,2,873,2026-10-08,56395.8
93,10,5,585,2026-04-13,168316.2
94,17,5,321,2026-08-12,48156.42
95,17,1,217,2026-05-15,32554.34
96,14,1,795,2027-04-25,103254.6
97,9,4,248,2026-05-30,61241.12
98,7,2,118,2027-01-14,10222.34
99,10,2,111,2026-09-17,31936.92
100,8,2,350,2026-03-20,93779.0
101,13,1,200,2027-02-15,48584.0
102,20,4,716,2027-01-18,160462.76
103,19,1,415,2027-03-25,108331.6
104,22,2,890,2026-11-11,194714.2
105,18,1,801,2027-03-23,89976.33
106,14,3,60,2026-11-29,7792.8
107,20,4,78,2026-09-13,17480.58
108,19,2,291,2026-09-21,75962.64
109,12,1,702,2026-09-09,45349.2
110,12,4,523,2026-09-19,33785.8
111,4,5,517,2026-08-22,29308.73
112,18,3,540,2026-04-04,60658.2
113,12,5,567,2026-10-31,36628.2
114,12,5,887,2026-08-09,57300.2
115,12,2,606,2027-03-30,39147.6
116,22,2,191,2026-08-05,41786.98
117,16,4,730,2026-10-23,63166.9
118,11,2,570,2027-01-06,43764.6
119,22,3,559,2026-07-31,122298.02
