date,drug_id,location_id,opening_stock,received_qty,dispensed_qty,closing_stock,stockout_flag
2026-01-01,1,1,1362,0,144,1218,0
2026-01-01,1,2,1538,0,151,1387,0
2026-01-01,1,3,1010,0,97,913,0
2026-01-01,1,4,1131,0,137,994,0
2026-01-01,1,5,1059,0,174,885,0
2026-01-01,2,1,732,0,94,638,0
2026-01-01,2,2,1071,0,107,964,0
2026-01-01,2,3,654,0,85,569,0
2026-01-01,2,4,803,0,99,704,0
2026-01-01,2,5,1020,0,85,935,0
2026-01-01,3,1,1174,0,141,1033,0
2026-01-01,3,2,1274,0,208,1066,0
2026-01-01,3,3,973,0,124,849,0
2026-01-01,3,4,1094,0,131,963,0
2026-01-01,3,5,1360,0,164,1196,0
2026-01-01,4,1,1404,0,163,1241,0
2026-01-01,4,2,1837,0,196,1641,0
2026-01-01,4,3,1190,0,124,1066,0
2026-01-01,4,4,1188,0,141,1047,0
2026-01-01,4,5,1487,0,142,1345,0
2026-01-01,5,1,491,0,63,428,0
2026-01-01,5,2,540,0,83,457,0
2026-01-01,5,3,381,0,38,343,0
2026-01-01,5,4,573,0,66,507,0
2026-01-01,5,5,539,0,74,465,0
2026-01-01,6,1,1356,0,218,1138,0
2026-01-01,6,2,1902,0,243,1659,0
2026-01-01,6,3,1093,0,147,946,0
2026-01-01,6,4,1571,0,154,1417,0
2026-01-01,6,5,1484,0,184,1300,0
2026-01-01,7,1,429,0,44,385,0
2026-01-01,7,2,492,0,58,434,0
2026-01-01,7,3,388,0,41,347,0
2026-01-01,7,4,385,0,52,333,0
2026-01-01,7,5,352,0,54,298,0
2026-01-01,8,1,902,0,121,781,0
2026-01-01,8,2,1559,0,140,1419,0
2026-01-01,8,3,1039,0,85,954,0
2026-01-01,8,4,1070,0,100,970,0
2026-01-01,8,5,927,0,109,818,0
2026-01-01,9,1,1553,0,163,1390,0
2026-01-01,9,2,1719,0,171,1548,0
2026-01-01,9,3,1140,0,126,1014,0
2026-01-01,9,4,1136,0,122,1014,0
2026-01-01,9,5,1100,0,143,957,0
2026-01-01,10,1,666,0,93,573,0
2026-01-01,10,2,1140,0,117,1023,0
2026-01-01,10,3,644,0,66,578,0
2026-01-01,10,4,638,0,85,553,0
2026-01-01,10,5,707,0,88,619,0
2026-01-01,11,1,851,0,99,752,0
2026-01-01,11,2,838,0,112,726,0
2026-01-01,11,3,771,0,62,709,0
