date,drug_id,location_id,demand_qty,fulfilled_qty,stockout_flag
2026-01-01,1,1,144,144,0
2026-01-01,1,2,151,151,0
2026-01-01,1,3,97,97,0
2026-01-01,1,4,137,137,0
2026-01-01,1,5,174,174,0
2026-01-01,2,1,94,94,0
2026-01-01,2,2,107,107,0
2026-01-01,2,3,85,85,0
2026-01-01,2,4,99,99,0
2026-01-01,2,5,85,85,0
2026-01-01,3,1,141,141,0
2026-01-01,3,2,208,208,0
2026-01-01,3,3,124,124,0
2026-01-01,3,4,131,131,0
2026-01-01,3,5,164,164,0
2026-01-01,4,1,163,163,0
2026-01-01,4,2,196,196,0
2026-01-01,4,3,124,124,0
2026-01-01,4,4,141,141,0
2026-01-01,4,5,142,142,0
2026-01-01,5,1,63,63,0
2026-01-01,5,2,83,83,0
2026-01-01,5,3,38,38,0
2026-01-01,5,4,66,66,0
2026-01-01,5,5,74,74,0
2026-01-01,6,1,218,218,0
2026-01-01,6,2,243,243,0
2026-01-01,6,3,147,147,0
2026-01-01,6,4,154,154,0
2026-01-01,6,5,184,184,0
2026-01-01,7,1,44,44,0
2026-01-01,7,2,58,58,0
2026-01-01,7,3,41,41,0
2026-01-01,7,4,52,52,0
2026-01-01,7,5,54,54,0
2026-01-01,8,1,121,121,0
2026-01-01,8,2,140,140,0
2026-01-01,8,3,85,85,0
2026-01-01,8,4,100,100,0
2026-01-01,8,5,109,109,0
2026-01-01,9,1,163,163,0
2026-01-01,9,2,171,171,0
2026-01-01,9,3,126,126,0
2026-01-01,9,4,122,122,0
2026-01-01,9,5,143,143,0
2026-01-01,10,1,93,93,0
2026-01-01,10,2,117,117,0
2026-01-01,10,3,66,66,0
2026-01-01,10,4,85,85,0
2026-01-01,10,5,88,88,0
2026-01-01,11,1,99,99,0
2026-01-01,11,2,112,112,0
2026-01-01,11,3,62,62,0
2026-01-01,11,4,80,80,0
2026-01-01,11,5,82,82,0
2026-01-01,12,1,100,100,0
2026-01-01,12,2,114,114,0
2026-01-01,12,3,85,85,0
2026-01-01,12,4,98,98,0
2026-01-01,12,5,101,101,0
2026-01-01,13,1,79,79,0
2026-01-01,13,2,96,96,0
2026-01-01,13,3,84,84,0
2026-01-01,13,4,82,82,0
2026-01-01,13,5,96,96,0
2026-01-01,14,1,202,202,0
2026-01-01,14,2,226,226,0
2026-01-01,14,3,167,167,0
2026-01-01,14,4,150,150,0
2026-01-01,14,5,264,264,0
2026-01-01,15,1,110,110,0
2026-01-01,15,2,141,141,0
2026-01-01,15,3,104,104,0
2026-01-01,15,4,108,108,0
2026-01-01,15,5,88,88,0
2026-01-01,16,1,58,58,0
2026-01-01,16,2,72,72,0
2026-01-01,16,3,47,47,0
2026-01-01,16,4,55,55,0
2026-01-01,16,5,52,52,0
2026-01-01,17,1,62,62,0
2026-01-01,17,2,67,67,0
2026-01-01,17,3,52,52,0
2026-01-01,17,4,55,55,0
2026-01-01,17,5,47,47,0
