drug_id,drug_name,category,criticality,unit_cost,annual_demand,annual_demand_value,cv,abc_class,xyz_class,abc_xyz
1,Drug 01,Analgesic,Critical,251.73,246350,62013685.5,0.09914225656500318,A,X,AX
2,Drug 02,Antibiotic,Critical,228.61,185888,42495855.68,0.10296757068665152,B,X,BX
3,Drug 03,Cardiac,Critical,312.64,268207,83852236.47999999,0.10055925879997543,A,X,AX
4,Drug 04,Diabetes,Critical,56.69,276166,15655850.54,0.10454403427435079,B,X,BX
5,Drug 05,Respiratory,Critical,129.98,116476,15139550.479999999,0.11064028239372978,C,X,CX
6,Drug 06,Gastro,Critical,266.47,321752,85737255.44000001,0.09972059886282494,A,X,AX
7,Drug 07,CNS,Critical,86.63,91532,7929417.159999999,0.10730678890077519,C,X,CX
8,Drug 08,Vitamin,Critical,267.94,218135,58447091.9,0.10425442994744327,A,X,AX
9,Drug 09,Analgesic,High,246.94,258305,63785836.7,0.09487530071688313,A,X,AX
10,Drug 10,Antibiotic,High,287.72,163697,47098900.84,0.10618738455530054,A,X,AX
11,Drug 11,Cardiac,High,76.78,165327,12693807.06,0.09929390177339731,C,X,CX
12,Drug 12,Diabetes,High,64.6,193194,12480332.399999999,0.10459249973607612,C,X,CX
13,Drug 13,Respiratory,High,242.92,165900,40300428.0,0.10408777724803733,B,X,BX
14,Drug 14,Gastro,High,129.88,333845,43359788.6,0.09908728013811176,B,X,BX
15,Drug 15,CNS,High,75.22,192965,14514827.299999999,0.09622038178469977,C,X,CX
16,Drug 16,Vitamin,High,86.53,100276,8676882.28,0.11385304833672644,C,X,CX
17,Drug 17,Analgesic,High,150.02,110641,16598362.82,0.10939413300068232,B,X,BX
18,Drug 18,Antibiotic,Standard,112.33,294490,33080061.7,0.09973417244983505,B,X,BX
19,Drug 19,Cardiac,Standard,261.04,297895,77762510.80000001,0.09641320542052428,A,X,AX
20,Drug 20,Diabetes,Standard,224.11,172842,38735620.620000005,0.11057290842360767,B,X,BX
21,Drug 21,Respiratory,Standard,78.37,287468,22528867.16,0.09668749604357317,B,X,BX
22,Drug 22,Gastro,Standard,218.78,68228,14926921.84,0.11443692914274596,C,X,CX
23,Drug 23,CNS,Standard,253.78,218752,55514882.56,0.10096721343414768,A,X,AX
24,Drug 24,Vitamin,Standard,60.22,192392,11585846.24,0.1036430768407399,C,X,CX
25,Drug 25,Analgesic,Standard,219.86,245097,53887026.42,0.10007178730658715,A,X,AX
