drug_id,drug_name,category,criticality,avg_daily_demand,safety_stock,total_demand,total_fulfilled,stockout_records,unfulfilled_qty,fill_rate_pct,stockout_rate_pct,avg_closing_stock,inventory_days,avg_inventory_value
19,Drug 19,Cardiac,Standard,157,809,297895,275776,154,22119,92.57490055220799,42.19178082191781,705.2816438356165,4.492239769653608,184106.72030684934
6,Drug 06,Gastro,Critical,169,975,321752,300185,152,21567,93.29701136278874,41.64383561643836,775.1117808219178,4.586460241549809,206544.03623561646
14,Drug 14,Gastro,High,175,1028,333845,313151,135,20694,93.8013149815034,36.986301369863014,832.5934246575342,4.757676712328767,108137.23399452055
24,Drug 24,Vitamin,Standard,101,450,192392,175616,200,16776,91.28030271528962,54.794520547945204,418.2531506849315,4.141120303811203,25187.204734246574
11,Drug 11,Cardiac,High,87,363,165327,148716,229,16611,89.95263931481246,62.73972602739726,340.17534246575343,3.9100614076523383,26118.662794520547
20,Drug 20,Diabetes,Standard,91,414,172842,156565,210,16277,90.58272873491397,57.534246575342465,368.3972602739726,4.048321541472227,82561.51000000001
25,Drug 25,Analgesic,Standard,129,807,245097,228851,145,16246,93.37160389560051,39.726027397260275,627.1556164383562,4.861671445258575,137886.43383013702
8,Drug 08,Vitamin,Critical,115,750,218135,202319,155,15816,92.74944415155753,42.465753424657535,568.5917808219178,4.944276354973199,152348.48175342465
23,Drug 23,CNS,Standard,115,721,218752,202950,148,15802,92.77629461673493,40.54794520547945,565.4915068493151,4.917317450863609,143510.4346082192
4,Drug 04,Diabetes,Critical,145,841,276166,260414,126,15752,94.2961841790807,34.52054794520548,691.3260273972603,4.767765706188002,39191.27249315068
21,Drug 21,Respiratory,Standard,151,1079,287468,272435,112,15033,94.7705483740799,30.684931506849313,796.3194520547945,5.273638755329765,62407.55545753425
13,Drug 13,Respiratory,High,88,466,165900,151447,208,14453,91.28812537673298,56.986301369863014,378.01205479452057,4.295591531755916,91826.68835068493
15,Drug 15,CNS,High,102,602,192965,178900,152,14065,92.71111341434975,41.64383561643836,484.8054794520548,4.752994896588772,36467.06816438356
1,Drug 01,Analgesic,Critical,129,959,246350,233569,110,12781,94.81185305459712,30.136986301369863,704.9139726027397,5.464449400021238,177447.99432328765
2,Drug 02,Antibiotic,Critical,98,428,185888,173135,167,12753,93.13941728352556,45.75342465753425,412.34465753424655,4.207598546267822,94266.11215890411
3,Drug 03,Cardiac,Critical,141,1007,268207,255542,112,12665,95.27790102420892,30.684931506849313,753.6339726027397,5.344921791508792,235616.12519452054
18,Drug 18,Antibiotic,Standard,155,1136,294490,284223,84,10267,96.51363373968556,23.013698630136986,846.8975342465753,5.463855059655325,95132.0000219178
12,Drug 12,Diabetes,High,102,686,193194,184547,106,8647,95.52418812178432,29.041095890410958,527.9638356164384,5.176116035455278,34106.46378082191
9,Drug 09,Analgesic,High,136,1072,258305,249910,73,8395,96.74996612531697,20.0,777.7216438356164,5.718541498791297,192050.58272876713
7,Drug 07,CNS,Critical,48,204,91532,83298,207,8234,91.00423895468252,56.71232876712329,192.5304109589041,4.011050228310502,16678.90950136986
17,Drug 17,Analgesic,High,58,394,110641,104568,125,6073,94.5110763640965,34.24657534246575,295.5309589041096,5.095361360415683,44335.554454794525
5,Drug 05,Respiratory,Critical,61,401,116476,110857,108,5619,95.17583021394965,29.589041095890412,317.2367123287671,5.200601841455199,41234.42786849315
16,Drug 16,Vitamin,High,53,354,100276,95474,108,4802,95.21121704096693,29.589041095890412,278.59068493150687,5.256428017575601,24106.45196712329
10,Drug 10,Antibiotic,High,86,611,163697,159214,72,4483,97.26140369096562,19.726027397260275,470.0904109589041,5.466167569289582,135254.4130410959
22,Drug 22,Gastro,Standard,36,245,68228,64763,113,3465,94.92143987805593,30.958904109589042,188.71561643835616,5.242100456621005,41287.20256438356
