location_id,location_name,region,drug_id,drug_name,category,criticality,expiry_units,expiry_value,batches,earliest_expiry
5,East DC,East,23,Drug 23,CNS,Standard,7158,1816557.24,12,2026-02-26
2,Central DC,Central,3,Drug 03,Cardiac,Critical,5539,1731712.96,9,2026-02-25
2,Central DC,Central,6,Drug 06,Gastro,Critical,6357,1693949.79,13,2026-04-11
3,West DC,West,10,Drug 10,Antibiotic,High,5686,1635975.92,11,2026-03-11
3,West DC,West,25,Drug 25,Analgesic,Standard,7223,1588048.78,14,2026-01-31
1,North DC,North,23,Drug 23,CNS,Standard,5915,1501108.7,11,2026-02-21
4,South DC,South,6,Drug 06,Gastro,Critical,5521,1471180.8699999999,12,2026-05-19
5,East DC,East,9,Drug 09,Analgesic,High,5693,1405829.42,14,2026-03-18
5,East DC,East,25,Drug 25,Analgesic,Standard,5880,1292776.8,12,2026-02-06
2,Central DC,Central,1,Drug 01,Analgesic,Critical,4772,1201255.56,8,2026-02-07
3,West DC,West,19,Drug 19,Cardiac,Standard,4555,1189037.2,8,2026-02-08
4,South DC,South,25,Drug 25,Analgesic,Standard,5399,1187024.1400000001,12,2026-02-16
4,South DC,South,9,Drug 09,Analgesic,High,4588,1132960.72,11,2026-01-31
1,North DC,North,25,Drug 25,Analgesic,Standard,5075,1115789.5,9,2026-03-11
1,North DC,North,13,Drug 13,Respiratory,High,4496,1092168.32,10,2026-02-07
5,East DC,East,10,Drug 10,Antibiotic,High,3772,1085279.8399999999,7,2026-04-13
4,South DC,South,8,Drug 08,Vitamin,Critical,4022,1077654.68,8,2026-04-30
3,West DC,West,22,Drug 22,Gastro,Standard,4925,1077491.5,7,2026-05-05
1,North DC,North,19,Drug 19,Cardiac,Standard,4117,1074701.68,8,2026-03-01
3,West DC,West,2,Drug 02,Antibiotic,Critical,4600,1051606.0,10,2026-04-10
3,West DC,West,8,Drug 08,Vitamin,Critical,3892,1042822.48,7,2026-02-25
5,East DC,East,13,Drug 13,Respiratory,High,4263,1035567.96,8,2026-02-13
5,East DC,East,20,Drug 20,Diabetes,Standard,4572,1024630.92,8,2026-03-18
4,South DC,South,3,Drug 03,Cardiac,Critical,3273,1023270.72,8,2026-03-18
2,Central DC,Central,25,Drug 25,Analgesic,Standard,4516,992887.76,10,2026-02-12
3,West DC,West,1,Drug 01,Analgesic,Critical,3934,990305.82,7,2026-05-04
3,West DC,West,23,Drug 23,CNS,Standard,3850,977053.0,10,2026-03-16
5,East DC,East,2,Drug 02,Antibiotic,Critical,4226,966105.86,8,2026-02-06
1,North DC,North,10,Drug 10,Antibiotic,High,3357,965876.04,6,2026-03-05
4,South DC,South,22,Drug 22,Gastro,Standard,4362,954318.36,10,2026-03-28
4,South DC,South,2,Drug 02,Antibiotic,Critical,4049,925641.89,10,2026-03-24
2,Central DC,Central,2,Drug 02,Antibiotic,Critical,3983,910553.63,9,2026-03-02
2,Central DC,Central,14,Drug 14,Gastro,High,6955,903315.4,11,2026-02-10
2,Central DC,Central,18,Drug 18,Antibiotic,Standard,7853,882127.49,14,2026-03-13
2,Central DC,Central,9,Drug 09,Analgesic,High,3505,865524.7,7,2026-02-11
1,North DC,North,22,Drug 22,Gastro,Standard,3879,848647.62,8,2026-02-06
5,East DC,East,6,Drug 06,Gastro,Critical,3178,846841.66,7,2026-06-14
5,East DC,East,22,Drug 22,Gastro,Standard,3682,805547.96,7,2026-06-20
2,Central DC,Central,19,Drug 19,Cardiac,Standard,3005,784425.2,7,2026-03-23
1,North DC,North,18,Drug 18,Antibiotic,Standard,6912,776424.96,10,2026-02-07
5,East DC,East,14,Drug 14,Gastro,High,5913,767980.44,10,2026-02-18
4,South DC,South,14,Drug 14,Gastro,High,5890,764993.2,8,2026-02-16
4,South DC,South,20,Drug 20,Diabetes,Standard,3286,736425.4600000001,7,2026-03-26
