location_id,location_name,region,drug_id,drug_name,safety_stock,avg_closing_stock,min_closing_stock,days_below_safety,stockout_days,avg_gap,pct_days_below_safety_stock,stockout_rate_pct
1,North DC,North,1,Drug 01,959,704.9068493150685,0,281,23,-254.09315068493152,76.98630136986301,6.301369863013699
1,North DC,North,2,Drug 02,428,411.2712328767123,0,184,45,-16.728767123287696,50.41095890410959,12.32876712328767
1,North DC,North,3,Drug 03,1007,786.7013698630137,0,266,19,-220.29863013698628,72.87671232876713,5.205479452054795
1,North DC,North,4,Drug 04,841,696.5397260273973,0,237,22,-144.46027397260275,64.93150684931507,6.027397260273973
1,North DC,North,5,Drug 05,401,335.5123287671233,0,246,14,-65.48767123287672,67.3972602739726,3.835616438356164
1,North DC,North,6,Drug 06,975,759.8109589041096,0,249,43,-215.1890410958904,68.21917808219177,11.780821917808218
1,North DC,North,7,Drug 07,204,191.2082191780822,0,195,42,-12.791780821917797,53.42465753424658,11.506849315068493
1,North DC,North,8,Drug 08,750,599.0657534246575,0,248,28,-150.9342465753425,67.94520547945206,7.671232876712328
1,North DC,North,9,Drug 09,1072,813.8958904109589,0,283,17,-258.10410958904106,77.53424657534246,4.657534246575342
1,North DC,North,10,Drug 10,611,495.72054794520545,0,255,16,-115.27945205479455,69.86301369863014,4.383561643835616
1,North DC,North,11,Drug 11,363,350.6986301369863,0,189,41,-12.30136986301369,51.78082191780822,11.232876712328768
1,North DC,North,12,Drug 12,686,542.8547945205479,0,257,24,-143.1452054794521,70.41095890410959,6.575342465753424
1,North DC,North,13,Drug 13,466,373.8054794520548,0,235,51,-92.19452054794522,64.38356164383562,13.972602739726028
1,North DC,North,14,Drug 14,1028,814.517808219178,0,251,32,-213.48219178082195,68.76712328767124,8.767123287671232
1,North DC,North,15,Drug 15,602,475.4328767123288,0,251,31,-126.56712328767122,68.76712328767124,8.493150684931507
1,North DC,North,16,Drug 16,354,297.15616438356165,0,242,13,-56.843835616438355,66.3013698630137,3.5616438356164384
1,North DC,North,17,Drug 17,394,317.413698630137,0,253,18,-76.58630136986301,69.31506849315069,4.931506849315069
1,North DC,North,18,Drug 18,1136,867.0054794520548,0,272,19,-268.99452054794517,74.52054794520548,5.205479452054795
1,North DC,North,19,Drug 19,809,771.8712328767124,0,196,20,-37.128767123287616,53.6986301369863,5.47945205479452
1,North DC,North,20,Drug 20,414,385.8082191780822,0,198,31,-28.191780821917803,54.24657534246575,8.493150684931507
1,North DC,North,21,Drug 21,1079,798.9835616438356,0,275,25,-280.0164383561644,75.34246575342466,6.8493150684931505
1,North DC,North,22,Drug 22,245,181.17534246575343,0,277,27,-63.82465753424657,75.89041095890411,7.397260273972603
1,North DC,North,23,Drug 23,721,618.4,0,232,16,-102.60000000000002,63.56164383561644,4.383561643835616
1,North DC,North,24,Drug 24,450,420.1945205479452,0,195,52,-29.805479452054783,53.42465753424658,14.246575342465754
1,North DC,North,25,Drug 25,807,639.9260273972603,0,260,22,-167.07397260273967,71.23287671232876,6.027397260273973
2,Central DC,Central,1,Drug 01,959,722.9397260273972,0,261,38,-236.06027397260277,71.5068493150685,10.41095890410959
2,Central DC,Central,2,Drug 02,428,484.9178082191781,0,159,33,56.917808219178085,43.56164383561644,9.04109589041096
2,Central DC,Central,3,Drug 03,1007,882.6356164383561,0,227,14,-124.36438356164388,62.19178082191781,3.835616438356164
2,Central DC,Central,4,Drug 04,841,733.9232876712329,0,212,38,-107.07671232876714,58.082191780821915,10.41095890410959
2,Central DC,Central,5,Drug 05,401,341.28767123287673,0,224,30,-59.71232876712327,61.36986301369863,8.219178082191782
2,Central DC,Central,6,Drug 06,975,892.2657534246575,0,203,27,-82.73424657534247,55.61643835616438,7.397260273972603
2,Central DC,Central,7,Drug 07,204,227.7890410958904,0,154,46,23.78904109589041,42.19178082191781,12.602739726027398
2,Central DC,Central,8,Drug 08,750,571.5506849315068,0,249,52,-178.4493150684932,68.21917808219177,14.246575342465754
2,Central DC,Central,9,Drug 09,1072,826.0493150684931,0,263,20,-245.95068493150688,72.05479452054794,5.47945205479452
2,Central DC,Central,10,Drug 10,611,498.86575342465756,0,249,22,-112.13424657534244,68.21917808219177,6.027397260273973
