location_id,location_name,region,drug_id,drug_name,total_orders,ordered_units,received_units,late_orders,avg_planned_lead_time,avg_actual_lead_time,po_fill_rate_pct,late_rate_pct,avg_lead_time_variance
5,East DC,East,3,Drug 03,7,6660,6474,6,12.428571428571429,15.285714285714286,97.2072072072072,85.71428571428571,2.8571428571428577
2,Central DC,Central,7,Drug 07,5,1200,1200,4,14.6,16.4,100.0,80.0,1.799999999999999
2,Central DC,Central,21,Drug 21,4,3361,3361,3,20.0,22.75,100.0,75.0,2.75
2,Central DC,Central,14,Drug 14,8,8707,8707,6,18.75,20.625,100.0,75.0,1.875
2,Central DC,Central,25,Drug 25,8,6355,6200,6,19.75,21.0,97.5609756097561,75.0,1.25
3,West DC,West,23,Drug 23,12,7828,7828,9,13.916666666666666,16.916666666666668,100.0,75.0,3.0000000000000018
5,East DC,East,11,Drug 11,4,2128,2128,3,12.25,13.5,100.0,75.0,1.25
1,North DC,North,19,Drug 19,10,11727,11133,7,13.8,16.2,94.93476592478895,70.0,2.3999999999999986
5,East DC,East,6,Drug 06,13,11599,11599,9,15.538461538461538,17.076923076923077,100.0,69.23076923076923,1.5384615384615383
3,West DC,West,10,Drug 10,12,5845,5845,8,18.666666666666668,20.833333333333332,100.0,66.66666666666667,2.1666666666666643
3,West DC,West,6,Drug 06,15,16027,15819,10,17.666666666666668,20.066666666666666,98.70219005428339,66.66666666666667,2.3999999999999986
4,South DC,South,20,Drug 20,11,6437,6437,7,14.0,16.0,100.0,63.63636363636363,2.0
1,North DC,North,9,Drug 09,8,5706,5659,5,15.375,16.875,99.17630564318262,62.5,1.5
4,South DC,South,9,Drug 09,8,8022,8022,5,17.0,18.25,100.0,62.5,1.25
2,Central DC,Central,10,Drug 10,8,3853,3853,5,13.375,16.0,100.0,62.5,2.625
3,West DC,West,14,Drug 14,10,13779,13779,6,13.0,14.2,100.0,60.0,1.1999999999999993
5,East DC,East,17,Drug 17,12,4291,4291,7,14.0,15.916666666666666,100.0,58.333333333333336,1.916666666666666
2,Central DC,Central,15,Drug 15,12,7065,6870,7,12.416666666666666,13.5,97.23991507430998,58.333333333333336,1.083333333333334
1,North DC,North,15,Drug 15,7,4101,4101,4,12.428571428571429,14.142857142857142,100.0,57.142857142857146,1.7142857142857135
5,East DC,East,7,Drug 07,7,1935,1935,4,16.285714285714285,18.0,100.0,57.142857142857146,1.7142857142857153
4,South DC,South,25,Drug 25,7,6003,6003,4,18.571428571428573,19.714285714285715,100.0,57.142857142857146,1.1428571428571423
1,North DC,North,22,Drug 22,7,1432,1432,4,12.142857142857142,13.571428571428571,100.0,57.142857142857146,1.4285714285714288
5,East DC,East,5,Drug 05,16,6259,6172,9,13.375,14.75,98.61000159769931,56.25,1.375
2,Central DC,Central,19,Drug 19,9,8191,8191,5,14.555555555555555,16.444444444444443,100.0,55.55555555555556,1.8888888888888875
4,South DC,South,17,Drug 17,9,3140,3140,5,15.0,16.555555555555557,100.0,55.55555555555556,1.5555555555555571
4,South DC,South,4,Drug 04,9,6819,6819,5,15.11111111111111,16.555555555555557,100.0,55.55555555555556,1.4444444444444464
2,Central DC,Central,20,Drug 20,9,4403,4403,5,13.88888888888889,16.22222222222222,100.0,55.55555555555556,2.333333333333332
5,East DC,East,10,Drug 10,9,5363,5319,5,13.11111111111111,13.88888888888889,99.17956367704643,55.55555555555556,0.7777777777777786
1,North DC,North,7,Drug 07,11,3302,3302,6,13.0,15.090909090909092,100.0,54.54545454545455,2.0909090909090917
1,North DC,North,3,Drug 03,13,9713,9713,7,15.692307692307692,16.923076923076923,100.0,53.84615384615385,1.2307692307692317
5,East DC,East,8,Drug 08,15,8934,8881,8,18.0,19.266666666666666,99.40676068950079,53.333333333333336,1.2666666666666657
4,South DC,South,14,Drug 14,10,9808,9808,5,16.9,18.7,100.0,50.0,1.8000000000000007
2,Central DC,Central,5,Drug 05,8,2694,2694,4,15.75,17.0,100.0,50.0,1.25
3,West DC,West,5,Drug 05,6,2209,2209,3,14.666666666666666,16.166666666666668,100.0,50.0,1.5000000000000018
